name,path,keymap_count,no_cpp_count,error_count
0_sixty/base,keyboards/0_sixty/info.json,1,0,0
0_sixty/underglow,keyboards/0_sixty/info.json,1,0,0
0xc7/61key,,1,0,0
0xcb/1337,,1,0,0
0xcb/splaytoraid/32u4,keyboards/0xcb/splaytoraid/info.json,1,0,0
0xcb/splaytoraid/rp2040_ce,keyboards/0xcb/splaytoraid/info.json,1,0,0
0xcb/static,,1,0,0
0xcb/tutelpad,,1,0,0
10bleoledhub,,1,0,0
1k,,1,0,1
1upkeyboards/1up60hse,,2,0,0
1upkeyboards/1up60hte,,4,0,0
1upkeyboards/1up60rgb,,7,0,0
1upkeyboards/1upocarina,,1,0,0
1upkeyboards/1upslider8,,1,0,0
1upkeyboards/1upsuper16v3,,2,0,0
1upkeyboards/pi40/grid_v1_1,keyboards/1upkeyboards/pi40/info.json,1,0,0
1upkeyboards/pi40/mit_v1_0,keyboards/1upkeyboards/pi40/info.json,1,0,0
1upkeyboards/pi40/mit_v1_1,keyboards/1upkeyboards/pi40/info.json,1,0,0
1upkeyboards/pi50/grid,keyboards/1upkeyboards/pi50/info.json,1,0,0
1upkeyboards/pi50/mit,keyboards/1upkeyboards/pi50/info.json,1,0,0
1upkeyboards/pi60,,12,0,0
1upkeyboards/pi60_hse,,2,0,0
1upkeyboards/pi60_rgb,,1,0,0
1upkeyboards/pi60_rgb_v2,,2,0,0
1upkeyboards/super16,,3,0,0
1upkeyboards/super16v2,,1,0,0
1upkeyboards/sweet16/v1,keyboards/1upkeyboards/sweet16/info.json,2,0,0
1upkeyboards/sweet16v2/kb2040,,2,0,0
1upkeyboards/sweet16v2/pro_micro,,2,0,0
25keys/aleth42/rev0,,1,0,0
25keys/aleth42/rev1,,1,0,0
25keys/cassette42,,1,0,1
25keys/zinc/rev1,,1,0,0
25keys/zinc/reva,,1,0,0
2key2crawl,,1,0,0
30wer,,1,0,0
3keyecosystem/2key2,,1,0,0
3w6/rev1,keyboards/3w6/info.json,1,0,0
3w6/rev2,keyboards/3w6/info.json,2,0,0
40percentclub/25,,3,0,0
40percentclub/4pack,,1,0,0
40percentclub/4x4,,3,0,0
40percentclub/5x5,,4,0,0
40percentclub/6lit,,3,0,0
40percentclub/foobar,,2,0,0
40percentclub/gherkin/kb2040,keyboards/40percentclub/gherkin/info.json,2,0,0
40percentclub/gherkin/pro_micro,keyboards/40percentclub/gherkin/info.json,2,0,0
40percentclub/half_n_half,,1,0,0
40percentclub/i75/promicro,keyboards/40percentclub/i75/info.json,2,0,0
40percentclub/i75/teensy2,keyboards/40percentclub/i75/info.json,2,0,0
40percentclub/luddite,,2,0,0
40percentclub/mf68,,2,0,0
40percentclub/nano,,1,0,0
40percentclub/nein,,1,0,0
40percentclub/nori,,3,0,0
40percentclub/polyandry/promicro,keyboards/40percentclub/polyandry/info.json,1,0,0
40percentclub/polyandry/teensy2,keyboards/40percentclub/polyandry/info.json,1,0,0
40percentclub/sixpack,,2,0,0
40percentclub/tomato,,2,0,0
40percentclub/ut47,,2,0,0
45_ats,,1,0,0
4by3,,1,0,0
4pplet/aekiso60/rev_a,keyboards/4pplet/aekiso60/info.json,2,0,0
4pplet/aekiso60/rev_b,keyboards/4pplet/aekiso60/info.json,2,0,0
4pplet/bootleg/rev_a,,1,0,0
4pplet/eagle_viper_rep/rev_a,,10,0,0
4pplet/eagle_viper_rep/rev_b,,10,0,0
4pplet/ibe60,,2,0,0
4pplet/perk60_iso/rev_a,,2,0,0
4pplet/steezy60/rev_a,,9,0,0
4pplet/steezy60/rev_b,,9,0,0
4pplet/unextended_std/rev_a,,1,0,0
4pplet/waffling60/rev_a,,1,0,0
4pplet/waffling60/rev_b,,1,0,0
4pplet/waffling60/rev_c,,1,0,0
4pplet/waffling60/rev_d,,1,0,0
4pplet/waffling60/rev_d_ansi,,1,0,0
4pplet/waffling60/rev_d_iso,,1,0,0
4pplet/waffling60/rev_e,,13,0,0
4pplet/waffling60/rev_e_ansi,,3,0,0
4pplet/waffling60/rev_e_iso,,3,0,0
4pplet/waffling80/rev_a,keyboards/4pplet/waffling80/info.json,17,0,0
4pplet/waffling80/rev_b,keyboards/4pplet/waffling80/info.json,17,0,0
4pplet/waffling80/rev_b_ansi,keyboards/4pplet/waffling80/info.json,17,0,0
4pplet/yakiimo/rev_a,,5,0,0
7c8/framework,,1,0,0
8pack/rev11,keyboards/8pack/info.json,1,0,0
8pack/rev12,keyboards/8pack/info.json,1,0,0
9key,,1,0,0
a_dux,,2,0,0
a_jazz/akc084,,1,0,0
abacus,,1,0,1
abatskeyboardclub/nayeon,,6,0,0
abko/ak84bt,,1,0,0
abstract/ellipse/rev1,,1,0,0
acekeyboard/titan60,,3,0,0
acheron/apollo/87h/delta,keyboards/acheron/apollo/87h/info.json,1,0,0
acheron/apollo/87h/gamma,keyboards/acheron/apollo/87h/info.json,1,0,0
acheron/apollo/87htsc,,1,0,0
acheron/apollo/88htsc,,1,0,0
acheron/arctic,,1,0,0
acheron/athena/alpha,keyboards/acheron/athena/info.json,1,0,0
acheron/athena/beta,keyboards/acheron/athena/info.json,1,0,0
acheron/austin,,9,0,0
acheron/elongate/beta,,1,0,0
acheron/elongate/delta,,1,0,0
acheron/keebspcb,,2,0,0
acheron/lasgweloth,,3,0,0
acheron/shark/alpha,keyboards/acheron/shark/info.json,2,0,0
acheron/shark/beta,keyboards/acheron/shark/info.json,2,0,0
acheron/themis/87h,keyboards/acheron/themis/info.json,2,0,0
acheron/themis/87htsc,keyboards/acheron/themis/info.json,2,0,0
acheron/themis/88htsc,keyboards/acheron/themis/info.json,2,0,0
ada/ada1800mini,,1,0,0
ada/infinity81,,1,0,0
adafruit/macropad,,1,0,0
adelheid,,1,0,0
adkb96/rev1,,1,0,0
adm42/rev4,,1,0,1
adpenrose/akemipad,,2,0,0
adpenrose/kintsugi,,1,0,0
adpenrose/mine,,2,0,0
adpenrose/obi,,2,0,0
adpenrose/shisaku,,1,0,0
aeboards/aegis,,3,0,0
aeboards/constellation/rev1,,2,0,0
aeboards/constellation/rev2,,2,0,0
aeboards/constellation/rev3,,2,0,0
aeboards/ext65/rev1,keyboards/aeboards/ext65/info.json,1,0,0
aeboards/ext65/rev2,keyboards/aeboards/ext65/info.json,1,0,0
aeboards/ext65/rev3,keyboards/aeboards/ext65/info.json,1,0,0
aeboards/satellite/rev1,,1,0,0
afternoonlabs/breeze/rev0,,1,0,0
afternoonlabs/breeze/rev1,,1,0,0
afternoonlabs/gust/rev1,,1,0,0
afternoonlabs/oceanbreeze/rev1,,1,0,0
afternoonlabs/southern_breeze/rev1,,1,0,0
afternoonlabs/summer_breeze/rev1,,1,0,0
ah/haven60,,10,0,0
ah/haven65,,2,0,0
ah/haven80/hotswap,keyboards/ah/haven80/info.json,2,0,0
ah/haven80/solder,keyboards/ah/haven80/info.json,5,0,0
ai,,1,0,0
ai03/altair,,1,0,0
ai03/altair_x,,1,0,0
ai03/andromeda,,1,0,0
ai03/duet,,1,0,0
ai03/equinox/rev0,keyboards/ai03/equinox/info.json,3,0,0
ai03/equinox/rev1,keyboards/ai03/equinox/info.json,3,0,0
ai03/equinox_xl,,1,0,0
ai03/jp60,,1,0,1
ai03/lunar,,1,0,0
ai03/lunar_ii,,1,0,0
ai03/orbit,,1,0,0
ai03/orbit_x,,1,0,0
ai03/polaris,,6,0,0
ai03/quasar,,1,0,0
ai03/soyuz,,4,0,0
ai03/vega,,9,0,0
ai03/voyager60_alps,,1,0,0
aidansmithdotdev/fine40,,1,0,0
aidansmithdotdev/sango,,1,0,0
akb/eb46,,1,0,0
akb/ogr,,9,0,0
akb/ogrn,,3,0,0
akb/raine,,1,0,0
akb/vero,,5,0,0
akegata_denki/device_one,,6,0,0
akko/5087,,2,0,0
akko/5108,,1,0,0
akko/acr87,,1,0,0
akko/top40,,1,0,0
al1,,1,0,0
alas,,8,0,0
aleblazer/zodiark,,1,0,0
alf/dc60,,6,0,0
alf/x11,,1,0,0
alf/x2,,2,0,0
alfredslab/swift65/hotswap,,1,0,0
alfredslab/swift65/solder,,1,0,0
alhenkb/macropad5x4,,3,0,0
aliceh66/pianoforte,,10,0,0
aliceh66/pianoforte_hs,,2,0,0
alpaca/wfeclipse,,1,0,0
alpha,,1,0,0
alpine65,,1,0,0
alps64,,2,0,0
alt34/rev1,,2,0,0
amag23,,1,0,0
amjkeyboard/amj40,,4,0,0
amjkeyboard/amj60,,5,0,0
amjkeyboard/amj66,,3,0,0
amjkeyboard/amj84,,5,0,0
amjkeyboard/amj96,,1,0,0
amjkeyboard/amjpad,,5,0,0
an_achronism/tetromino,,1,0,0
anavi/arrows,,1,0,0
anavi/knob1,,1,0,0
anavi/knobs3,,1,0,0
anavi/macropad10,,1,0,0
anavi/macropad12,,1,0,0
anavi/macropad8,,1,0,0
andean_condor,,1,0,0
annepro2/c15,keyboards/annepro2/info.json,6,4,4
annepro2/c18,keyboards/annepro2/info.json,6,4,4
ano,,1,0,0
anomalykb/a65i,,4,0,0
aos/tkl,,1,0,0
aozora,,2,0,1
aplyard/aplx6/rev1,keyboards/aplyard/aplx6/info.json,1,0,0
aplyard/aplx6/rev2,keyboards/aplyard/aplx6/info.json,1,0,0
arabica37/rev1,,1,0,0
archerkeyboard/desire65,,3,0,0
archetype/minervalx,,1,0,0
ares,,14,0,0
argo_works/ishi/80/mk0_avr,,1,0,0
argo_works/ishi/80/mk0_avr_extra,,1,0,0
argyle,,15,0,0
arisu,,1,0,0
arrayperipherals/1x4p1,,1,0,0
arrayperipherals/vector,,1,0,0
arrowmechanics/wings,,1,0,0
artemis/paragon/hotswap,keyboards/artemis/paragon/info.json,1,0,0
artemis/paragon/soldered,keyboards/artemis/paragon/info.json,1,0,0
artifact/lvl/rev_hs01,,2,0,0
ash1800,,1,0,0
ash_xiix,,1,0,0
ashwing66,,1,0,0
ask55,,1,0,0
at_at/660m,,1,0,0
atlantis/ak81_ve,,1,0,0
atlantis/ps17,,1,0,0
atlas_65,,1,0,0
atomic,,2,0,0
atreus/astar,keyboards/atreus/info.json,2,0,0
atreus/astar_mirrored,keyboards/atreus/info.json,2,0,0
atreus/f103,keyboards/atreus/info.json,2,0,0
atreus/feather,keyboards/atreus/info.json,2,0,0
atreus/promicro,keyboards/atreus/info.json,2,0,0
atreus/teensy2,keyboards/atreus/info.json,2,0,0
atreus62,,1,0,0
atreyu/rev1,keyboards/atreyu/info.json,1,0,0
atreyu/rev2,keyboards/atreyu/info.json,1,0,0
atset/at1,,1,0,0
atset/at12,,1,0,0
atset/at16,,2,0,0
atset/at2,,1,0,0
atset/at3,,1,0,0
atset/at6,,1,0,0
atset/at9,,1,0,0
atxkb/1894,,5,0,0
aurora65,,2,0,0
automata02/alisaie,,1,0,0
avalanche/v1,,1,0,0
avalanche/v2,,1,0,0
avalanche/v3,,1,0,0
avalanche/v4,,1,0,0
aves60,,1,0,0
aves65,,8,0,0
axolstudio/foundation_gamma,,3,0,0
axolstudio/helpo,,1,0,0
axolstudio/yeti/hotswap,,1,0,0
axolstudio/yeti/soldered,,3,0,0
aya,,1,0,0
b_sides/rev41lp,,1,0,0
bacca70,,1,0,0
baguette,,2,0,0
bahm/aster_ergo,,1,0,0
baion_808,,9,0,0
bajjak,,2,0,2
balloondogcaps/tr90,,1,0,0
balloondogcaps/tr90pm,,1,0,0
bandominedoni,,1,0,1
bantam44,,1,0,0
barleycorn_smd,,2,0,0
barracuda,,1,0,1
basekeys/slice/rev1,,4,0,2
basekeys/slice/rev1_rgb,,3,0,3
basekeys/trifecta,,1,0,0
basketweave,,1,0,0
bastardkb/charybdis/3x5/blackpill,keyboards/bastardkb/charybdis/3x5/info.json,1,0,0
bastardkb/charybdis/3x5/v1/elitec,keyboards/bastardkb/charybdis/3x5/info.json,1,0,0
bastardkb/charybdis/3x5/v2/elitec,keyboards/bastardkb/charybdis/3x5/info.json,1,0,0
bastardkb/charybdis/3x5/v2/splinky_2,keyboards/bastardkb/charybdis/3x5/info.json,1,0,0
bastardkb/charybdis/3x5/v2/splinky_3,keyboards/bastardkb/charybdis/3x5/info.json,1,0,0
bastardkb/charybdis/3x5/v2/stemcell,keyboards/bastardkb/charybdis/3x5/info.json,1,0,0
bastardkb/charybdis/3x6/blackpill,keyboards/bastardkb/charybdis/3x6/info.json,1,0,0
bastardkb/charybdis/3x6/v1/elitec,keyboards/bastardkb/charybdis/3x6/info.json,1,0,0
bastardkb/charybdis/3x6/v2/elitec,keyboards/bastardkb/charybdis/3x6/info.json,1,0,0
bastardkb/charybdis/3x6/v2/splinky_2,keyboards/bastardkb/charybdis/3x6/info.json,1,0,0
bastardkb/charybdis/3x6/v2/splinky_3,keyboards/bastardkb/charybdis/3x6/info.json,1,0,0
bastardkb/charybdis/3x6/v2/stemcell,keyboards/bastardkb/charybdis/3x6/info.json,1,0,0
bastardkb/charybdis/4x6/blackpill,keyboards/bastardkb/charybdis/4x6/info.json,1,0,0
bastardkb/charybdis/4x6/v1/elitec,keyboards/bastardkb/charybdis/4x6/info.json,1,0,0
bastardkb/charybdis/4x6/v2/elitec,keyboards/bastardkb/charybdis/4x6/info.json,1,0,0
bastardkb/charybdis/4x6/v2/splinky_2,keyboards/bastardkb/charybdis/4x6/info.json,1,0,0
bastardkb/charybdis/4x6/v2/splinky_3,keyboards/bastardkb/charybdis/4x6/info.json,1,0,0
bastardkb/charybdis/4x6/v2/stemcell,keyboards/bastardkb/charybdis/4x6/info.json,1,0,0
bastardkb/dilemma/3x5_2/assembled,keyboards/bastardkb/dilemma/3x5_2/info.json,2,0,0
bastardkb/dilemma/3x5_2/splinky,keyboards/bastardkb/dilemma/3x5_2/info.json,2,0,0
bastardkb/dilemma/3x5_3,keyboards/bastardkb/dilemma/info.json,2,0,0
bastardkb/dilemma/4x6_4,keyboards/bastardkb/dilemma/info.json,1,0,0
bastardkb/scylla/blackpill,keyboards/bastardkb/scylla/info.json,1,0,0
bastardkb/scylla/v1/elitec,keyboards/bastardkb/scylla/info.json,1,0,0
bastardkb/scylla/v2/elitec,keyboards/bastardkb/scylla/info.json,1,0,0
bastardkb/scylla/v2/splinky_2,keyboards/bastardkb/scylla/info.json,1,0,0
bastardkb/scylla/v2/splinky_3,keyboards/bastardkb/scylla/info.json,1,0,0
bastardkb/scylla/v2/stemcell,keyboards/bastardkb/scylla/info.json,1,0,0
bastardkb/skeletyl/blackpill,keyboards/bastardkb/skeletyl/info.json,2,0,0
bastardkb/skeletyl/v1/elitec,keyboards/bastardkb/skeletyl/info.json,2,0,0
bastardkb/skeletyl/v2/elitec,keyboards/bastardkb/skeletyl/info.json,2,0,0
bastardkb/skeletyl/v2/splinky_2,keyboards/bastardkb/skeletyl/info.json,2,0,0
bastardkb/skeletyl/v2/splinky_3,keyboards/bastardkb/skeletyl/info.json,2,0,0
bastardkb/skeletyl/v2/stemcell,keyboards/bastardkb/skeletyl/info.json,2,0,0
bastardkb/tbkmini/blackpill,keyboards/bastardkb/tbkmini/info.json,2,0,0
bastardkb/tbkmini/v1/elitec,keyboards/bastardkb/tbkmini/info.json,2,0,0
bastardkb/tbkmini/v2/elitec,keyboards/bastardkb/tbkmini/info.json,2,0,0
bastardkb/tbkmini/v2/splinky_2,keyboards/bastardkb/tbkmini/info.json,2,0,0
bastardkb/tbkmini/v2/splinky_3,keyboards/bastardkb/tbkmini/info.json,2,0,0
bastardkb/tbkmini/v2/stemcell,keyboards/bastardkb/tbkmini/info.json,2,0,0
bbrfkr/dynamis,,2,0,0
bear_face/v1,keyboards/bear_face/info.json,1,0,0
bear_face/v2,keyboards/bear_face/info.json,2,0,0
bear_face/v3,keyboards/bear_face/info.json,2,0,0
beatervan,,1,0,0
beekeeb/piantor,,4,0,0
beekeeb/piantor_pro,,2,0,0
bemeier/bmek/rev1,keyboards/bemeier/bmek/info.json,1,0,0
bemeier/bmek/rev2,keyboards/bemeier/bmek/info.json,1,0,0
bemeier/bmek/rev3,keyboards/bemeier/bmek/info.json,1,0,0
bestway,,2,0,0
bfake,,1,0,0
biacco42/ergo42/rev1,,3,0,0
biacco42/meishi,,1,0,0
biacco42/meishi2,,1,0,0
binepad/bn003,,1,0,0
binepad/bn006,,2,0,0
binepad/bn009/r1,keyboards/binepad/bn009/info.json,1,0,1
binepad/bn009/r2,keyboards/binepad/bn009/info.json,1,0,1
binepad/bnk9,,1,0,0
binepad/bnr1/v1,keyboards/binepad/bnr1/info.json,3,0,0
binepad/bnr1/v2,keyboards/binepad/bnr1/info.json,3,0,0
binepad/pixie,,1,0,0
